Ticker,Order Type,Price Move,Price Move(Actual),Limit,Stop,OrderShares,BoughtShares,SoldShares,BuyTarget,BuyTargetIndicator,BuyPrice,orderPricePct,SellPrice,Profit,Date,OrderTime,BuyTime,SellTime,Fill(m),Hold(m),PassedStop,PrematureReversalBailOut,NumOfIndicators,Indicators,Result
SNOW,Long,40 Min,5.0,199.83,198.83,25,25.0,0,199.08,Q|Y|M|W|W,199.04,71,0,0,2026-01-29,09:35:00,09:42:27,,7.45,,False,201.777525,1,Q|Y|M|W|W,Sold(Stop)
RBRK,Long,5 Min,4.0,60.29,59.29,83,83.0,0,59.54,W|W|D|D,59.5,76,0,0,2026-01-29,09:34:00,09:43:33,,9.55,,False,60.6975,3,"D s3, W s3, W|W|D|D",Sold(Stop)
ORCL,Long,5 Min,4.0,166.35,165.35,30,0,0,165.6,W|W|D,0,59,0,0,2026-01-29,09:34:00,,,,,False,168.11625,2,"D s2, W|W|D",Order Rejected
NOW,Long,40 Min,15.0,115.41,114.41,43,0,0,114.66,Y|W,0,79,0,0,2026-01-29,09:43:00,,,,,False,116.8,1,Y|W,Order Rejected
RDDT,Long,5 Min,2.0,195.67,194.67,25,25.0,0,194.92,Y|M|W|pdo|pdc|pdh|pdl|D|D|D,194.76,47,0,0,2026-01-29,09:33:00,09:45:01,,12.03,,False,198.1,5,"pdo, M s2, Y|M|W|pdo|pdc|pdh|pdl|D|D|D, Y|M|W|W|D|D|D, Y|M",Sold(Stop)
FIGR,Long,5 Min,4.0,63.04,62.04,80,80.0,0,62.29,M|pdl|D|D,62.25,79,0,0,2026-01-29,09:35:00,09:44:51,,9.86,,False,63.405525000000004,2,"pdl, M|pdl|D|D",Sold(Stop)
SNDK,Long,5 Min,0.0,515.72,514.72,9,0,0,514.97,W|D|D,0,24,0,0,2026-01-29,09:30:00,,,,,False,532.22,4,"D pp1, W r1, W|D|D, W|D",Cancelled(Order Timed)
CVNA,Long,5 Min,1.0,428.9,427.9,11,0,0,428.15,M pp1,0,29,0,0,2026-01-29,09:44:00,,,,,False,437.8975,2,"D pp1, M pp1",Order Rejected
WPM,Long,5 Min,3.0,154.78,153.78,32,0,0,154.03,M|W|W|D|D|D,0,51,0,0,2026-01-29,09:30:00,,,,,False,157.54,4,"D pp1, M r4, M|W|W|D|D|D, M|W",Cancelled(Order Timed)
WDC,Long,5 Min,0.0,275.1,274.1,18,0,0,274.35,Q|W|D|D,0,54,0,0,2026-01-29,09:30:00,,,,,False,281.4425,2,"D pp1, Q|W|D|D",Cancelled(Order Timed)
